"Pablo","5+5","10","2023-10-25T00:00"
"Pablo","1+2","3","2023-10-25T00:00"
"Pablo","1+1","2","2023-10-25T00:00"
"Pablo","1*6","6","2023-10-25T00:00"
"Pablo","(23*2)-5","41","2023-10-25T00:00"
"Pablo","2+23","25","2023-10-25T00:00"
"Pablo","((5+5)*2)/5","4","2023-10-25T00:00"
"Juan","5%10","5","2023-10-25T00:00"
"Juan","5%1","0","2023-10-25T00:00"
"Juan","5%5","0","2023-10-25T00:00"
"Juan","90*2-7+2","175","2023-10-25T00:00"
"Pablo","(2+3)-2","3","2023-10-25T00:00"
"gldnbolt","1 + 1","2","2023-10-26T00:00"
"gldnbolt","1 + 2","3","2023-10-26T00:00"
"gldnbolt","1 * 2","2","2023-10-26T00:00"
"gldnbolt","2 * 2","4","2023-10-26T00:00"
